directory,file_name,variable_name,variable_type,variable_values,description,unit
raw_data,01_01_1_4_test_watercontent_raw.csv,trial,categorical,1–4,Replicate number of the experiment,
raw_data,01_01_1_4_test_watercontent_raw.csv,time_min,numeric,0–10,Elapsed mixing time,min
raw_data,01_01_1_4_test_watercontent_raw.csv,variable,categorical,m_wet;m_dry,Measured variable type,
raw_data,01_01_1_4_test_watercontent_raw.csv,paddle1,numeric,0–0.05,Wet or dry mass at paddle position 1,kg
raw_data,01_01_1_4_test_watercontent_raw.csv,paddle2,numeric,0–0.05,Wet or dry mass at paddle position 2,kg
raw_data,01_01_1_4_test_watercontent_raw.csv,paddle3,numeric,0–0.05,Wet or dry mass at paddle position 3,kg
raw_data,01_01_1_4_test_watercontent_raw.csv,paddle4,numeric,0–0.05,Wet or dry mass at paddle position 4,kg
raw_data,01_01_1_4_test_watercontent_raw.csv,observation,text,,Free-text observational notes,
derived_data,01_01_1_4_test_watercontent_derived.csv,w,numeric,0–1,Gravimetric water content (m_wet–m_dry)/m_wet,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,w_theory,numeric,0.65–0.70,Theoretical water content based on substrate composition,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,mean_w,numeric,0–1,Mean water content across paddles,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,std_w,numeric,0–0.3,Standard deviation of water content across paddles,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,sem_w,numeric,0–0.1,Standard error of mean water content,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,dev_paddle1,numeric,-0.3–0.3,Deviation of paddle1 from mean water content,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,dev_paddle2,numeric,-0.3–0.3,Deviation of paddle2 from mean water content,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,dev_paddle3,numeric,-0.3–0.3,Deviation of paddle3 from mean water content,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,dev_paddle4,numeric,-0.3–0.3,Deviation of paddle4 from mean water content,dimensionless
derived_data,01_01_1_4_test_watercontent_derived.csv,combined_5min_mean_dev_pct,numeric,0–20,Mean absolute deviation across trials 2–4 at 5 min,%
derived_data,01_01_1_4_test_watercontent_derived.csv,combined_5min_sem_pct,numeric,0–10,SEM of absolute deviation across trials 2–4 at 5 min,%
raw_data,01_02_1_3_test_portions_raw.csv,trial,categorical,1–3,Replicate number of the experiment,
raw_data,01_02_1_3_test_portions_raw.csv,prototype,categorical,V3;V4,Prototype version used,
raw_data,01_02_1_3_test_portions_raw.csv,bag_id,numeric,1–40,Sequential bag identifier,
raw_data,01_02_1_3_test_portions_raw.csv,m_bag,numeric,0.1–1.6,Mass of filled substrate bag,kg
raw_data,01_02_1_3_test_portions_raw.csv,m_probe_wet,numeric,0.02–0.06,Wet mass of probe sample,kg
raw_data,01_02_1_3_test_portions_raw.csv,m_probe_dry,numeric,0.005–0.015,Dry mass of probe sample,kg
raw_data,01_02_1_3_test_portions_raw.csv,observation,text,,Free-text observational notes,
derived_data,01_02_1_3_test_portions_derived.csv,mean_bag_mass,numeric,0.1–1.6,Mean mass of bags in trial,kg
derived_data,01_02_1_3_test_portions_derived.csv,std_bag_mass,numeric,0–0.5,Standard deviation of bag masses,kg
derived_data,01_02_1_3_test_portions_derived.csv,std_bag_mass_pct,numeric,0–40,Relative standard deviation of bag masses,%
derived_data,01_02_1_3_test_portions_derived.csv,std_bag_mass_err_pct,numeric,0–10,Uncertainty of relative standard deviation (Gauss propagation),%
derived_data,01_02_1_3_test_portions_derived.csv,sem_bag_mass,numeric,0–0.1,Standard error of the mean bag mass,kg
derived_data,01_02_1_3_test_portions_derived.csv,mass_loss_pct,numeric,0–60,Mass loss relative to inserted substrate,%
derived_data,01_02_1_3_test_portions_derived.csv,mean_watercontent,numeric,0–1,Mean water content of probe samples,dimensionless
